V 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
-1.458 75114.5 2138.74 1907.38 1831.63 1793.97 1771.4 1756.35 1745.57 1737.48 1731.16 1726.1 1721.94 1718.46 1715.51 1712.97 1710.76 1708.83 1707.11 1705.58 1704.21 1702.97
-1.457 75119.9 2138.64 1907.25 1831.5 1793.83 1771.26 1756.2 1745.43 1737.33 1731.01 1725.94 1721.78 1718.31 1715.35 1712.82 1710.61 1708.67 1706.96 1705.43 1704.05 1702.81
-1.456 75125.2 2138.54 1907.13 1831.36 1793.69 1771.11 1756.05 1745.28 1737.18 1730.86 1725.79 1721.63 1718.15 1715.2 1712.66 1710.45 1708.52 1706.8 1705.27 1703.9 1702.66
-1.455 75130.6 2138.44 1907 1831.23 1793.55 1770.97 1755.91 1745.13 1737.03 1730.71 1725.64 1721.48 1718 1715.05 1712.51 1710.3 1708.36 1706.65 1705.12 1703.74 1702.5
-1.454 75136 2138.34 1906.88 1831.09 1793.41 1770.83 1755.76 1744.98 1736.88 1730.56 1725.49 1721.33 1717.85 1714.89 1712.35 1710.15 1708.21 1706.49 1704.96 1703.59 1702.35
-1.453 75141.4 2138.24 1906.75 1830.96 1793.27 1770.68 1755.61 1744.83 1736.73 1730.41 1725.33 1721.17 1717.69 1714.74 1712.2 1709.99 1708.05 1706.34 1704.81 1703.43 1702.19
-1.452 75146.8 2138.14 1906.63 1830.82 1793.13 1770.54 1755.47 1744.68 1736.58 1730.25 1725.18 1721.02 1717.54 1714.59 1712.05 1709.84 1707.9 1706.18 1704.65 1703.28 1702.04
-1.451 75152.1 2138.05 1906.5 1830.68 1792.98 1770.39 1755.32 1744.53 1736.43 1730.11 1725.03 1720.87 1717.39 1714.43 1711.89 1709.68 1707.74 1706.03 1704.5 1703.12 1701.88
-1.45 75157.7 2137.95 1906.37 1830.55 1792.84 1770.25 1755.17 1744.39 1736.28 1729.95 1724.88 1720.72 1717.23 1714.28 1711.74 1709.53 1707.59 1705.87 1704.34 1702.97 1701.72
-1.449 75163 2137.85 1906.25 1830.41 1792.7 1770.1 1755.03 1744.24 1736.13 1729.8 1724.73 1720.56 1717.08 1714.13 1711.59 1709.37 1707.44 1705.72 1704.19 1702.81 1701.57
-1.448 75168.4 2137.75 1906.12 1830.28 1792.56 1769.96 1754.88 1744.09 1735.98 1729.65 1724.58 1720.41 1716.93 1713.97 1711.43 1709.22 1707.28 1705.56 1704.03 1702.65 1701.41
-1.447 75173.8 2137.65 1906 1830.14 1792.42 1769.81 1754.73 1743.94 1735.83 1729.5 1724.43 1720.26 1716.78 1713.82 1711.28 1709.07 1707.13 1705.41 1703.88 1702.5 1701.26
-1.446 75179.3 2137.55 1905.87 1830.01 1792.28 1769.67 1754.59 1743.79 1735.68 1729.35 1724.28 1720.11 1716.62 1713.67 1711.12 1708.91 1706.97 1705.25 1703.72 1702.35 1701.1
-1.445 75184.7 2137.46 1905.75 1829.87 1792.14 1769.53 1754.44 1743.65 1735.53 1729.2 1724.12 1719.96 1716.47 1713.51 1710.97 1708.76 1706.82 1705.1 1703.57 1702.19 1700.95
-1.444 75190.1 2137.36 1905.63 1829.74 1792 1769.38 1754.29 1743.5 1735.38 1729.05 1723.97 1719.81 1716.32 1713.36 1710.82 1708.61 1706.66 1704.94 1703.41 1702.03 1700.79
-1.443 75195.6 2137.26 1905.5 1829.6 1791.86 1769.24 1754.15 1743.35 1735.23 1728.9 1723.82 1719.65 1716.17 1713.21 1710.66 1708.45 1706.51 1704.79 1703.26 1701.88 1700.64
-1.442 75201.1 2137.16 1905.38 1829.47 1791.72 1769.1 1754 1743.2 1735.08 1728.75 1723.67 1719.5 1716.01 1713.06 1710.51 1708.3 1706.36 1704.64 1703.1 1701.73 1700.48
-1.441 75206.5 2137.06 1905.25 1829.33 1791.58 1768.95 1753.86 1743.06 1734.93 1728.6 1723.52 1719.35 1715.86 1712.9 1710.36 1708.14 1706.2 1704.48 1702.95 1701.57 1700.33
-1.44 75212 2136.96 1905.13 1829.2 1791.44 1768.81 1753.71 1742.91 1734.78 1728.45 1723.37 1719.2 1715.71 1712.75 1710.21 1707.99 1706.05 1704.33 1702.79 1701.42 1700.17
-1.439 75217.5 2136.87 1905 1829.06 1791.3 1768.66 1753.57 1742.76 1734.64 1728.3 1723.22 1719.05 1715.56 1712.6 1710.05 1707.84 1705.89 1704.17 1702.64 1701.26 1700.02
-1.438 75222.9 2136.77 1904.88 1828.93 1791.16 1768.52 1753.42 1742.61 1734.49 1728.15 1723.07 1718.89 1715.41 1712.45 1709.9 1707.68 1705.74 1704.02 1702.49 1701.11 1699.86
-1.437 75228.4 2136.67 1904.76 1828.8 1791.02 1768.38 1753.27 1742.46 1734.34 1728 1722.92 1718.74 1715.26 1712.29 1709.75 1707.53 1705.59 1703.87 1702.33 1700.95 1699.71
-1.436 75233.9 2136.57 1904.63 1828.66 1790.88 1768.23 1753.13 1742.32 1734.19 1727.85 1722.77 1718.59 1715.1 1712.14 1709.59 1707.38 1705.43 1703.71 1702.18 1700.8 1699.55
-1.435 75239.4 2136.48 1904.5 1828.53 1790.74 1768.09 1752.98 1742.17 1734.04 1727.7 1722.62 1718.44 1714.95 1711.99 1709.44 1707.22 1705.28 1703.56 1702.02 1700.64 1699.4
-1.434 75245 2136.38 1904.38 1828.39 1790.6 1767.95 1752.83 1742.02 1733.89 1727.55 1722.46 1718.29 1714.8 1711.84 1709.29 1707.07 1705.13 1703.4 1701.87 1700.49 1699.24
-1.433 75250.4 2136.28 1904.26 1828.26 1790.46 1767.8 1752.69 1741.87 1733.74 1727.4 1722.31 1718.14 1714.65 1711.68 1709.13 1706.92 1704.97 1703.25 1701.71 1700.34 1699.09
-1.432 75256 2136.18 1904.13 1828.12 1790.32 1767.66 1752.54 1741.73 1733.6 1727.25 1722.16 1717.99 1714.5 1711.53 1708.98 1706.77 1704.82 1703.1 1701.56 1700.18 1698.94
-1.431 75261.5 2136.08 1904.01 1827.99 1790.18 1767.52 1752.4 1741.58 1733.45 1727.1 1722.01 1717.84 1714.34 1711.38 1708.83 1706.61 1704.67 1702.94 1701.41 1700.03 1698.78
-1.43 75267.1 2135.99 1903.89 1827.85 1790.04 1767.38 1752.25 1741.43 1733.3 1726.95 1721.86 1717.69 1714.19 1711.23 1708.68 1706.46 1704.51 1702.79 1701.25 1699.87 1698.63
-1.429 75272.6 2135.89 1903.76 1827.72 1789.9 1767.23 1752.11 1741.29 1733.15 1726.8 1721.71 1717.53 1714.04 1711.08 1708.53 1706.31 1704.36 1702.64 1701.1 1699.72 1698.47
-1.428 75278.1 2135.79 1903.64 1827.59 1789.76 1767.09 1751.96 1741.14 1733 1726.66 1721.56 1717.38 1713.89 1710.92 1708.37 1706.15 1704.21 1702.48 1700.94 1699.57 1698.32
-1.427 75283.7 2135.69 1903.51 1827.45 1789.62 1766.95 1751.82 1740.99 1732.86 1726.51 1721.41 1717.23 1713.74 1710.77 1708.22 1706 1704.06 1702.33 1700.79 1699.41 1698.16
-1.426 75289.2 2135.6 1903.39 1827.32 1789.48 1766.8 1751.67 1740.85 1732.71 1726.36 1721.26 1717.08 1713.59 1710.62 1708.07 1705.85 1703.9 1702.18 1700.64 1699.26 1698.01
-1.425 75294.8 2135.5 1903.27 1827.19 1789.34 1766.66 1751.53 1740.7 1732.56 1726.21 1721.11 1716.93 1713.44 1710.47 1707.92 1705.7 1703.75 1702.02 1700.49 1699.1 1697.86
-1.424 75300.3 2135.4 1903.14 1827.05 1789.2 1766.52 1751.38 1740.55 1732.41 1726.06 1720.96 1716.78 1713.29 1710.32 1707.76 1705.54 1703.6 1701.87 1700.33 1698.95 1697.7
-1.423 75305.9 2135.31 1903.02 1826.92 1789.06 1766.38 1751.24 1740.41 1732.26 1725.91 1720.81 1716.63 1713.13 1710.16 1707.61 1705.39 1703.44 1701.72 1700.18 1698.8 1697.55
-1.422 75311.5 2135.21 1902.9 1826.79 1788.93 1766.23 1751.09 1740.26 1732.11 1725.76 1720.66 1716.48 1712.98 1710.01 1707.46 1705.24 1703.29 1701.56 1700.02 1698.64 1697.4
-1.421 75317.1 2135.11 1902.78 1826.65 1788.79 1766.09 1750.95 1740.11 1731.97 1725.61 1720.51 1716.33 1712.83 1709.86 1707.31 1705.09 1703.14 1701.41 1699.87 1698.49 1697.24
-1.42 75322.6 2135.02 1902.65 1826.52 1788.65 1765.95 1750.8 1739.97 1731.82 1725.46 1720.37 1716.18 1712.68 1709.71 1707.16 1704.93 1702.98 1701.26 1699.72 1698.34 1697.09
-1.419 75328.3 2134.92 1902.53 1826.38 1788.51 1765.81 1750.66 1739.82 1731.67 1725.32 1720.22 1716.03 1712.53 1709.56 1707 1704.78 1702.83 1701.11 1699.57 1698.18 1696.93
-1.418 75333.9 2134.82 1902.41 1826.25 1788.37 1765.67 1750.51 1739.68 1731.52 1725.17 1720.07 1715.88 1712.38 1709.41 1706.85 1704.63 1702.68 1700.95 1699.41 1698.03 1696.78
-1.417 75339.5 2134.73 1902.28 1826.12 1788.23 1765.52 1750.37 1739.53 1731.38 1725.02 1719.92 1715.73 1712.23 1709.26 1706.7 1704.48 1702.53 1700.8 1699.26 1697.88 1696.63
-1.416 75345.1 2134.63 1902.16 1825.98 1788.09 1765.38 1750.23 1739.38 1731.23 1724.87 1719.77 1715.58 1712.08 1709.11 1706.55 1704.33 1702.38 1700.65 1699.11 1697.72 1696.47
-1.415 75350.7 2134.53 1902.04 1825.85 1787.95 1765.24 1750.08 1739.24 1731.08 1724.72 1719.62 1715.43 1711.93 1708.95 1706.4 1704.17 1702.22 1700.5 1698.95 1697.57 1696.32
-1.414 75356.4 2134.44 1901.91 1825.72 1787.82 1765.1 1749.94 1739.09 1730.93 1724.57 1719.47 1715.28 1711.78 1708.8 1706.25 1704.02 1702.07 1700.34 1698.8 1697.42 1696.17
-1.413 75362 2134.34 1901.79 1825.59 1787.68 1764.96 1749.79 1738.94 1730.79 1724.43 1719.32 1715.13 1711.63 1708.65 1706.1 1703.87 1701.92 1700.19 1698.65 1697.26 1696.01
-1.412 75367.6 2134.24 1901.67 1825.45 1787.54 1764.81 1749.65 1738.8 1730.64 1724.28 1719.17 1714.98 1711.48 1708.5 1705.94 1703.72 1701.77 1700.04 1698.5 1697.11 1695.86
-1.411 75373.3 2134.15 1901.55 1825.32 1787.4 1764.67 1749.5 1738.65 1730.49 1724.13 1719.02 1714.83 1711.33 1708.35 1705.79 1703.57 1701.62 1699.89 1698.34 1696.96 1695.71
-1.41 75378.9 2134.05 1901.42 1825.19 1787.26 1764.53 1749.36 1738.51 1730.34 1723.98 1718.87 1714.68 1711.18 1708.2 1705.64 1703.42 1701.46 1699.73 1698.19 1696.81 1695.56
-1.409 75384.6 2133.96 1901.3 1825.05 1787.12 1764.39 1749.22 1738.36 1730.2 1723.83 1718.72 1714.53 1711.03 1708.05 1705.49 1703.27 1701.31 1699.58 1698.04 1696.65 1695.4
-1.408 75390.3 2133.86 1901.18 1824.92 1786.99 1764.25 1749.07 1738.22 1730.05 1723.68 1718.58 1714.38 1710.88 1707.9 1705.34 1703.11 1701.16 1699.43 1697.89 1696.5 1695.25
-1.407 75396 2133.76 1901.06 1824.79 1786.85 1764.11 1748.93 1738.07 1729.9 1723.54 1718.43 1714.23 1710.73 1707.75 1705.19 1702.96 1701.01 1699.28 1697.73 1696.35 1695.1
-1.406 75401.6 2133.67 1900.93 1824.66 1786.71 1763.96 1748.79 1737.92 1729.76 1723.39 1718.28 1714.08 1710.57 1707.6 1705.04 1702.81 1700.86 1699.13 1697.58 1696.2 1694.94
-1.405 75407.3 2133.57 1900.81 1824.52 1786.57 1763.82 1748.64 1737.78 1729.61 1723.24 1718.13 1713.93 1710.43 1707.45 1704.89 1702.66 1700.7 1698.97 1697.43 1696.04 1694.79
-1.404 75413.1 2133.48 1900.69 1824.39 1786.43 1763.68 1748.5 1737.63 1729.46 1723.09 1717.98 1713.78 1710.28 1707.3 1704.74 1702.51 1700.55 1698.82 1697.28 1695.89 1694.64
-1.403 75418.7 2133.38 1900.57 1824.26 1786.3 1763.54 1748.36 1737.49 1729.32 1722.94 1717.83 1713.63 1710.13 1707.15 1704.59 1702.36 1700.4 1698.67 1697.12 1695.74 1694.49
-1.402 75424.4 2133.29 1900.45 1824.13 1786.16 1763.4 1748.21 1737.34 1729.17 1722.8 1717.68 1713.49 1709.98 1707 1704.44 1702.21 1700.25 1698.52 1696.97 1695.59 1694.33
-1.401 75430.2 2133.19 1900.32 1823.99 1786.02 1763.26 1748.07 1737.2 1729.03 1722.65 1717.54 1713.34 1709.83 1706.85 1704.28 1702.06 1700.1 1698.37 1696.82 1695.43 1694.18
-1.4 75435.9 2133.09 1900.2 1823.86 1785.88 1763.12 1747.93 1737.05 1728.88 1722.5 1717.39 1713.19 1709.68 1706.7 1704.13 1701.9 1699.95 1698.21 1696.67 1695.28 1694.03
-1.399 75441.6 2133 1900.08 1823.73 1785.75 1762.98 1747.78 1736.91 1728.73 1722.36 1717.24 1713.04 1709.53 1706.55 1703.98 1701.75 1699.8 1698.06 1696.52 1695.13 1693.88
-1.398 75447.3 2132.9 1899.96 1823.6 1785.61 1762.83 1747.64 1736.76 1728.58 1722.21 1717.09 1712.89 1709.38 1706.4 1703.83 1701.6 1699.64 1697.91 1696.37 1694.98 1693.72
-1.397 75453.1 2132.81 1899.84 1823.47 1785.47 1762.69 1747.5 1736.62 1728.44 1722.06 1716.94 1712.74 1709.23 1706.25 1703.68 1701.45 1699.49 1697.76 1696.21 1694.83 1693.57
-1.396 75458.8 2132.71 1899.72 1823.34 1785.33 1762.55 1747.35 1736.47 1728.29 1721.91 1716.8 1712.59 1709.08 1706.1 1703.53 1701.3 1699.34 1697.61 1696.06 1694.67 1693.42
-1.395 75464.6 2132.62 1899.59 1823.2 1785.2 1762.41 1747.21 1736.33 1728.15 1721.77 1716.65 1712.44 1708.93 1705.95 1703.38 1701.15 1699.19 1697.46 1695.91 1694.52 1693.27
-1.394 75470.4 2132.52 1899.47 1823.07 1785.06 1762.27 1747.07 1736.18 1728 1721.62 1716.5 1712.3 1708.78 1705.8 1703.23 1701 1699.04 1697.31 1695.76 1694.37 1693.12
-1.393 75476.1 2132.43 1899.35 1822.94 1784.92 1762.13 1746.92 1736.04 1727.86 1721.47 1716.35 1712.15 1708.63 1705.65 1703.08 1700.85 1698.89 1697.15 1695.61 1694.22 1692.96
-1.392 75481.9 2132.33 1899.23 1822.81 1784.79 1761.99 1746.78 1735.89 1727.71 1721.33 1716.2 1712 1708.48 1705.5 1702.93 1700.7 1698.74 1697 1695.46 1694.07 1692.81
-1.391 75487.6 2132.24 1899.11 1822.68 1784.65 1761.85 1746.64 1735.75 1727.56 1721.18 1716.05 1711.85 1708.33 1705.35 1702.78 1700.55 1698.59 1696.85 1695.3 1693.92 1692.66
-1.39 75493.5 2132.14 1898.99 1822.55 1784.51 1761.71 1746.49 1735.6 1727.42 1721.03 1715.91 1711.7 1708.18 1705.2 1702.63 1700.4 1698.44 1696.7 1695.15 1693.76 1692.51
-1.389 75499.2 2132.05 1898.87 1822.41 1784.38 1761.57 1746.35 1735.46 1727.27 1720.89 1715.76 1711.55 1708.04 1705.05 1702.48 1700.25 1698.29 1696.55 1695 1693.61 1692.36
-1.388 75505.1 2131.95 1898.75 1822.28 1784.24 1761.43 1746.21 1735.32 1727.13 1720.74 1715.61 1711.4 1707.89 1704.9 1702.33 1700.1 1698.14 1696.4 1694.85 1693.46 1692.2
-1.387 75510.9 2131.86 1898.63 1822.15 1784.1 1761.29 1746.07 1735.17 1726.98 1720.59 1715.47 1711.26 1707.74 1704.75 1702.18 1699.95 1697.99 1696.25 1694.7 1693.31 1692.05
-1.386 75516.6 2131.76 1898.5 1822.02 1783.96 1761.15 1745.92 1735.03 1726.84 1720.44 1715.32 1711.11 1707.59 1704.6 1702.03 1699.8 1697.84 1696.1 1694.55 1693.16 1691.9
-1.385 75522.4 2131.67 1898.39 1821.89 1783.83 1761.01 1745.78 1734.88 1726.69 1720.3 1715.17 1710.96 1707.44 1704.45 1701.88 1699.65 1697.69 1695.95 1694.4 1693.01 1691.75
-1.384 75528.3 2131.57 1898.26 1821.76 1783.69 1760.87 1745.64 1734.74 1726.55 1720.15 1715.02 1710.81 1707.29 1704.3 1701.73 1699.5 1697.54 1695.8 1694.25 1692.86 1691.6
-1.383 75534.1 2131.48 1898.14 1821.63 1783.56 1760.73 1745.5 1734.6 1726.4 1720.01 1714.88 1710.66 1707.14 1704.15 1701.58 1699.35 1697.38 1695.65 1694.1 1692.7 1691.45
-1.382 75539.9 2131.39 1898.02 1821.5 1783.42 1760.59 1745.36 1734.45 1726.25 1719.86 1714.73 1710.52 1707 1704.01 1701.43 1699.2 1697.23 1695.5 1693.95 1692.56 1691.3
-1.381 75545.8 2131.29 1897.9 1821.37 1783.28 1760.45 1745.21 1734.31 1726.11 1719.71 1714.58 1710.37 1706.85 1703.86 1701.28 1699.05 1697.09 1695.35 1693.8 1692.4 1691.15
-1.38 75551.7 2131.2 1897.78 1821.24 1783.15 1760.31 1745.07 1734.16 1725.96 1719.57 1714.44 1710.22 1706.7 1703.71 1701.14 1698.9 1696.93 1695.2 1693.64 1692.25 1691
-1.379 75557.5 2131.1 1897.66 1821.1 1783.01 1760.17 1744.93 1734.02 1725.82 1719.42 1714.29 1710.07 1706.55 1703.56 1700.99 1698.75 1696.79 1695.04 1693.5 1692.1 1690.84
-1.378 75563.4 2131.01 1897.54 1820.98 1782.87 1760.03 1744.79 1733.88 1725.67 1719.27 1714.14 1709.93 1706.4 1703.41 1700.84 1698.6 1696.63 1694.9 1693.34 1691.95 1690.69
-1.377 75569.2 2130.92 1897.42 1820.85 1782.74 1759.89 1744.65 1733.73 1725.53 1719.13 1713.99 1709.78 1706.26 1703.26 1700.69 1698.45 1696.49 1694.75 1693.19 1691.8 1690.54
-1.376 75575.1 2130.82 1897.3 1820.71 1782.6 1759.75 1744.5 1733.59 1725.39 1718.98 1713.85 1709.63 1706.11 1703.11 1700.54 1698.3 1696.34 1694.6 1693.04 1691.65 1690.39
-1.375 75581 2130.73 1897.18 1820.58 1782.47 1759.61 1744.36 1733.45 1725.24 1718.84 1713.7 1709.48 1705.96 1702.96 1700.39 1698.15 1696.19 1694.45 1692.89 1691.5 1690.24
